Time,Symbol,Bid,Ask,Price,Quantity,Status,Currency,buy_sell,TotalPrice,Spread,Liquidity
09:46:32.778,V,151.83,78.53,152.99,5,Customer_Timeout,JPY,b,764.95,73.3,0.06821282
09:46:33.905,META,215.12,72.22,211.39,15,Expired,INR,s,3170.85,142.9,0.1049685
09:46:41.493,NFLX,96.44,139.58,131.07,11,In_Progress,EUR,s,1441.77,43.14,0.2549838
09:46:46.051,APPL,222.82,143.34,126.79,5,Expired,GBP,b,633.95,79.48,0.06290891
09:46:53.644,META,222.71,195.5,135.72,2,Customer_Timeout,INR,s,271.44,27.21,0.07350239
09:47:08.956,NFLX,94.83,214.12,257.06,11,Pending_Approval,GBP,b,2827.66,119.29,0.09221226
09:47:11.399,V,170.2,273.1,65.61,13,Partially_Done,GBP,s,852.93,102.9,0.1263362
09:48:04.078,TSLA,50.47,71.42,65.84,3,Dealer_Rejected,INR,s,197.52,20.95,0.1431981
09:48:10.867,BABA,114.56,116.07,287.2,4,Partially_Done,EUR,s,1148.8,1.51,2.649007
09:48:51.365,MSFT,49.1,210.15,41.28,1,Cancelled,JPY,b,41.28,161.05,0.006209252
09:48:53.920,TSLA,102.72,117.23,273.93,7,Customer_Timeout,GBP,s,1917.51,14.51,0.4824259
09:49:28.887,META,108.57,187.35,60.53,5,In_Progress,JPY,s,302.65,78.78,0.06346789
09:49:50.649,GOOGL,153.99,87.62,250.26,11,Partially_Done,INR,s,2752.86,66.37,0.1657375
09:49:55.203,TSLA,266.17,279.39,111.01,11,Partially_Done,INR,b,1221.11,13.22,0.8320726
09:51:19.609,APPL,49.04,50.68,172.67,4,On_hold,USD,s,690.68,1.64,2.439024
09:51:58.239,BABA,157.49,256.46,218.98,14,In_Progress,GBP,s,3065.72,98.97,0.141457
09:52:12.840,V,190.76,108.7,26.41,8,In_Progress,INR,b,211.28,82.06,0.09748964
09:52:21.587,GOOGL,188.34,92.35,41.78,14,Dealer_Rejected,EUR,b,584.92,95.99,0.1458485
09:52:55.528,V,152.55,190.31,77.22,5,Cancelled,EUR,s,386.1,37.76,0.1324153
09:53:14.423,APPL,96.45,168.03,262.25,11,In_Progress,EUR,s,2884.75,71.58,0.1536742
09:53:30.197,TSLA,144.01,124.09,290.27,6,Customer_Timeout,INR,b,1741.62,19.92,0.3012048
09:53:39.521,META,184.08,83.51,120.81,5,Accepted,GBP,b,604.05,100.57,0.04971662
09:54:25.771,GOOGL,224.43,240.96,39.82,1,Cancelled,INR,b,39.82,16.53,0.06049607
09:54:48.624,V,78.27,146.55,96.37,6,Dealer_Rejected,INR,b,578.22,68.28,0.08787346
09:54:58.220,META,209.44,98.18,276.18,5,Pending_Approval,GBP,b,1380.9,111.26,0.04493978
09:54:58.909,BABA,230.52,30.31,225.83,9,In_Progress,EUR,b,2032.47,200.21,0.0449528
09:55:05.631,NFLX,61.09,24.35,183.82,6,Customer_Rejected,USD,s,1102.92,36.74,0.1633097
09:55:25.890,V,263.82,154.79,93.95,10,Dealer_Rejected,JPY,b,939.5,109.03,0.09171788
09:55:36.815,TSLA,146.92,296.56,283.58,3,Done,INR,s,850.74,149.64,0.02004812
09:55:41.670,V,117.61,246.72,177.86,3,In_Progress,JPY,s,533.58,129.11,0.023236
09:55:44.141,TSLA,278.11,61.41,96.49,15,Dealer_Rejected,GBP,s,1447.35,216.7,0.06922012
09:55:52.950,GOOGL,91.8,191.23,233.77,3,Customer_Rejected,GBP,s,701.31,99.43,0.03017198
09:55:55.431,META,298.47,64.52,178.91,13,Customer_Timeout,INR,s,2325.83,233.95,0.05556743
09:56:09.207,BABA,261.71,274.96,271.21,1,Done,GBP,s,271.21,13.25,0.0754717
09:56:32.835,NFLX,254.6,227.74,27.93,13,On_hold,USD,b,363.09,26.86,0.4839911
09:56:33.440,MSFT,120.76,297.46,32.61,12,Customer_Timeout,EUR,s,391.32,176.7,0.06791171
09:57:09.536,APPL,170.56,31.43,123.95,2,Partially_Done,INR,s,247.9,139.13,0.01437504
09:57:23.158,META,104.53,90.46,259.11,14,In_Progress,EUR,b,3627.54,14.07,0.9950249
09:57:42.873,META,207.63,282.75,143,13,In_Progress,GBP,s,1859,75.12,0.1730564
09:58:11.968,TSLA,229.27,255.62,239.47,4,Done,JPY,b,957.88,26.35,0.1518027
09:59:01.049,TSLA,88.54,243.96,35.17,12,On_hold,JPY,b,422.04,155.42,0.07721014
09:59:08.863,TSLA,258.69,206.69,239.71,2,Pending_Approval,USD,s,479.42,52,0.03846154
09:59:19.183,META,166.98,269.07,246.66,13,Accepted,JPY,b,3206.58,102.09,0.1273386
09:59:37.591,META,92.17,49.58,89.07,6,Accepted,USD,s,534.42,42.59,0.1408781
10:00:07.591,NFLX,118.95,155.89,34.71,6,Done,GBP,b,208.26,36.94,0.1624256
10:00:40.134,BABA,269.82,208.69,270.68,3,Dealer_Rejected,USD,b,812.04,61.13,0.04907574
10:01:17.393,GOOGL,88.3,268.19,206.62,14,Customer_Rejected,INR,s,2892.68,179.89,0.07782534
10:01:31.710,MSFT,169.39,59.74,176.53,1,Done,INR,b,176.53,109.65,0.009119927
10:03:08.048,META,92.72,248.23,204.91,6,On_hold,GBP,b,1229.46,155.51,0.03858273
10:03:32.950,BABA,251.22,27.63,190.26,2,Customer_Timeout,USD,s,380.52,223.59,0.008944944
10:03:39.290,NFLX,98.72,151.36,43.73,14,Done,GBP,b,612.22,52.64,0.2659574
10:03:47.137,NFLX,287.26,123.88,266.73,8,Cancelled,GBP,b,2133.84,163.38,0.0489656
10:04:20.155,V,278.56,60.31,173.42,8,In_Progress,USD,s,1387.36,218.25,0.03665521
10:04:31.925,GOOGL,125.35,293.75,264.08,13,Dealer_Timeout,GBP,s,3433.04,168.4,0.07719715
10:04:33.688,MSFT,168.39,102.47,51.3,1,On_hold,USD,b,51.3,65.92,0.0151699
10:04:55.495,V,155.37,179.55,236.93,9,Accepted,JPY,s,2132.37,24.18,0.3722084
10:05:03.900,BABA,40.08,142.56,44.52,5,Customer_Rejected,INR,b,222.6,102.48,0.04879001
10:05:19.641,TSLA,111.24,244.01,281.99,15,Pending_Approval,EUR,b,4229.85,132.77,0.1129773
10:05:32.249,APPL,252.15,213.51,134.51,4,Cancelled,GBP,s,538.04,38.64,0.1035197
10:06:04.013,META,232.59,269.83,255.63,3,Partially_Done,JPY,b,766.89,37.24,0.08055854
10:06:46.344,BABA,183.62,40.83,259.35,2,Pending_Approval,EUR,s,518.7,142.79,0.01400658
10:06:54.204,V,135.08,61.13,132.43,8,Expired,INR,s,1059.44,73.95,0.1081812
10:07:19.193,GOOGL,235.8,264.45,223.6,10,Partially_Done,USD,b,2236,28.65,0.3490401
10:08:08.324,APPL,45.86,87.87,296.55,3,Customer_Rejected,USD,s,889.65,42.01,0.07141157
10:08:31.660,TSLA,195.91,149.11,146.79,13,Dealer_Rejected,GBP,b,1908.27,46.8,0.2777778
10:08:38.968,META,175.94,267.74,81.44,1,Done,GBP,b,81.44,91.8,0.01089325
10:09:45.003,APPL,150.59,147.96,127.99,2,Expired,JPY,s,255.98,2.63,0.7604563
10:10:24.040,META,85.42,23.03,237.78,11,Cancelled,INR,b,2615.58,62.39,0.1763103
10:11:07.139,NFLX,165.36,62.72,171.61,14,Done,USD,s,2402.54,102.64,0.1363991
10:11:30.781,GOOGL,54.97,92.11,48.81,10,Partially_Done,JPY,b,488.1,37.14,0.2692515
10:11:55.163,GOOGL,37.5,38.91,39.99,4,Dealer_Rejected,INR,s,159.96,1.41,2.836879
10:12:17.534,META,172.29,196.76,262.2,13,Cancelled,GBP,s,3408.6,24.47,0.5312628
10:12:47.067,BABA,234.02,128.41,105.51,15,Expired,USD,s,1582.65,105.61,0.142032
10:15:23.328,BABA,261.35,116.74,54.46,14,Expired,EUR,s,762.44,144.61,0.09681212
10:15:41.204,BABA,55.56,210.09,42.09,3,Customer_Rejected,EUR,s,126.27,154.53,0.01941371
10:15:59.610,META,180.66,242.45,21.57,4,Cancelled,EUR,b,86.28,61.79,0.06473539
10:16:08.142,MSFT,192.59,198.31,194.22,14,Accepted,USD,s,2719.08,5.72,2.447552
10:16:16.347,BABA,102.91,48.32,44.08,2,Customer_Timeout,INR,s,88.16,54.59,0.03663675
10:16:34.032,NFLX,155.78,78.3,67.45,11,Partially_Done,EUR,s,741.95,77.48,0.1419721
10:16:41.847,APPL,153.17,49.81,276.56,1,Dealer_Rejected,JPY,b,276.56,103.36,0.009674923
10:17:10.636,META,100.62,49.53,215.15,4,Cancelled,INR,s,860.6,51.09,0.07829321
10:17:10.925,NFLX,282.2,152.2,71.51,2,In_Progress,INR,s,143.02,130,0.01538462
10:17:27.466,MSFT,24.38,115.79,99.89,15,Expired,USD,b,1498.35,91.41,0.1640958
10:17:59.706,NFLX,233.28,239.57,49.73,10,Expired,GBP,s,497.3,6.29,1.589825
10:18:02.668,APPL,179.28,273.72,101.39,2,Dealer_Timeout,USD,s,202.78,94.44,0.02117747
10:18:26.391,BABA,192.54,268.5,77.52,4,Customer_Rejected,JPY,s,310.08,75.96,0.05265929
10:18:46.241,GOOGL,258.21,255.88,211.48,4,Expired,GBP,b,845.92,2.33,1.716738
10:19:08.742,MSFT,53.57,209.94,245.95,2,Partially_Done,USD,b,491.9,156.37,0.01279018
10:19:18.632,GOOGL,204.35,262.71,237.1,13,In_Progress,USD,s,3082.3,58.36,0.2227553
10:19:36.389,BABA,109.46,244.09,182.63,13,Dealer_Rejected,INR,s,2374.19,134.63,0.09656094
10:20:25.305,NFLX,229.44,103.61,293.94,6,Accepted,GBP,s,1763.64,125.83,0.04768338
10:20:31.864,TSLA,40.25,38.58,71.56,2,Cancelled,GBP,b,143.12,1.67,1.197605
10:20:42.696,APPL,89.56,216.67,239.96,6,Done,USD,s,1439.76,127.11,0.04720321
10:21:15.890,APPL,146.14,288.84,168.88,5,On_hold,GBP,s,844.4,142.7,0.03503854
10:21:38.416,V,189.15,234.76,299.03,14,Accepted,JPY,s,4186.42,45.61,0.3069502
10:21:52.865,APPL,208.33,40.11,159.4,2,On_hold,INR,s,318.8,168.22,0.01188919
10:22:08.721,APPL,276.42,237.42,274.9,4,Cancelled,JPY,s,1099.6,39,0.1025641
10:22:33.288,TSLA,132.82,110.47,212.09,5,On_hold,USD,b,1060.45,22.35,0.2237136
10:22:53.506,MSFT,169.42,214.31,94.36,4,Cancelled,EUR,s,377.44,44.89,0.08910671
10:23:00.945,BABA,34.78,45.19,117.06,12,Expired,EUR,b,1404.72,10.41,1.152738
10:23:02.740,TSLA,81.55,164,250.96,7,Expired,EUR,b,1756.72,82.45,0.08489994
10:23:32.831,NFLX,196.87,154.58,108.17,15,In_Progress,JPY,b,1622.55,42.29,0.3546938
10:23:49.845,MSFT,100.85,92.52,177.37,13,Customer_Timeout,INR,s,2305.81,8.33,1.560624
10:24:28.295,BABA,170.11,155.14,213.81,9,On_hold,INR,s,1924.29,14.97,0.6012024
10:24:39.143,MSFT,47.98,80.27,269.72,7,Partially_Done,INR,b,1888.04,32.29,0.2167854
10:24:44.589,NFLX,58.61,63.09,275.33,1,Done,EUR,s,275.33,4.48,0.2232143
10:24:50.253,TSLA,42.9,222.6,261.54,15,Accepted,EUR,b,3923.1,179.7,0.08347245
10:24:52.372,MSFT,128.02,57.49,197.96,15,Pending_Approval,EUR,b,2969.4,70.53,0.2126755
10:25:09.790,BABA,215.91,286.83,276.41,14,On_hold,USD,b,3869.74,70.92,0.1974055
10:25:13.713,BABA,205.2,53.84,21.45,9,Dealer_Rejected,USD,s,193.05,151.36,0.05946089
10:25:52.781,V,245.39,177.17,241.54,13,On_hold,EUR,b,3140.02,68.22,0.19056
10:26:14.831,META,234.44,47.55,138.66,6,Cancelled,USD,b,831.96,186.89,0.03210445
10:26:15.345,NFLX,67.33,182.58,111.7,13,Accepted,GBP,b,1452.1,115.25,0.1127983
10:26:17.716,TSLA,25.31,88.66,226.68,10,Dealer_Timeout,JPY,b,2266.8,63.35,0.1578532
10:26:57.854,NFLX,219.44,170.44,255.23,8,Accepted,INR,b,2041.84,49,0.1632653
10:27:08.166,BABA,229.09,240.09,107.69,15,On_hold,GBP,s,1615.35,11,1.363636
10:27:17.417,MSFT,292.83,243.91,140.47,10,Accepted,INR,s,1404.7,48.92,0.2044154
10:27:20.057,META,278.71,265.02,288.68,7,In_Progress,EUR,s,2020.76,13.69,0.5113221
10:27:25.291,MSFT,99.98,136.96,208.62,3,Cancelled,GBP,s,625.86,36.98,0.08112493
10:27:28.607,APPL,222.14,221.17,239.65,6,Expired,EUR,b,1437.9,0.97,6.185567
10:28:57.230,META,78.13,294.97,109.55,10,Pending_Approval,JPY,b,1095.5,216.84,0.04611695
10:29:07.299,MSFT,195.59,32.29,103.76,10,Customer_Rejected,INR,b,1037.6,163.3,0.06123699
10:29:09.243,GOOGL,78.15,299.94,273.51,2,Dealer_Rejected,USD,b,547.02,221.79,0.009017539
10:30:04.774,NFLX,125.34,208.72,244.87,11,Customer_Timeout,EUR,s,2693.57,83.38,0.1319261
10:30:39.463,GOOGL,71.74,89.31,205.57,14,Dealer_Timeout,USD,s,2877.98,17.57,0.7968127
10:30:49.472,V,110.78,232.44,253.68,12,Dealer_Timeout,JPY,s,3044.16,121.66,0.09863554
10:31:06.996,APPL,137.04,192.24,109.44,15,Partially_Done,EUR,s,1641.6,55.2,0.2717391
10:32:00.784,V,78.7,220.68,220.8,1,Expired,USD,b,220.8,141.98,0.007043246
10:32:27.614,NFLX,189.74,238.36,258.78,8,Cancelled,JPY,s,2070.24,48.62,0.1645413
10:33:04.594,BABA,255.71,208.02,281.97,6,Pending_Approval,USD,b,1691.82,47.69,0.1258125
10:33:31.166,MSFT,281.67,138.06,50.05,8,In_Progress,USD,b,400.4,143.61,0.05570643
10:33:45.250,MSFT,143.34,59.16,145.26,7,Done,JPY,b,1016.82,84.18,0.08315514
10:34:43.067,NFLX,150.74,33.53,131.73,3,Customer_Rejected,USD,b,395.19,117.21,0.02559509
10:34:58.572,GOOGL,159.5,242.96,218.08,14,Expired,JPY,b,3053.12,83.46,0.167745
10:36:08.733,V,285.19,40.1,210.91,11,Pending_Approval,GBP,b,2320.01,245.09,0.04488147
10:36:31.372,GOOGL,25.83,93.25,245.04,6,In_Progress,GBP,s,1470.24,67.42,0.08899436
10:36:39.919,TSLA,168.55,136.61,103.19,3,Customer_Rejected,GBP,s,309.57,31.94,0.09392611
10:36:40.616,NFLX,232.94,254.11,69.17,13,Dealer_Timeout,JPY,b,899.21,21.17,0.6140765
10:37:17.699,TSLA,188.57,272.07,269.63,11,Cancelled,GBP,s,2965.93,83.5,0.1317365
10:37:30.035,GOOGL,156.89,278.74,178.39,10,Partially_Done,USD,b,1783.9,121.85,0.08206812
10:37:32.705,MSFT,250.37,114.57,194.56,3,Cancelled,GBP,s,583.68,135.8,0.02209131
10:37:54.779,TSLA,256.43,182.62,160.89,14,Pending_Approval,EUR,s,2252.46,73.81,0.1896762
10:38:23.883,META,203.66,153.11,299.07,2,Customer_Timeout,GBP,s,598.14,50.55,0.03956479
10:38:29.326,V,128.25,277.88,206.56,6,Cancelled,USD,b,1239.36,149.63,0.04009891
10:38:31.384,APPL,61.67,123.7,67.37,5,Accepted,GBP,b,336.85,62.03,0.08060616
10:38:46.281,BABA,149.21,292.06,239.53,9,Customer_Rejected,USD,b,2155.77,142.85,0.06300315
10:38:51.162,TSLA,237.23,143.14,179.03,11,Expired,EUR,s,1969.33,94.09,0.1169093
10:39:16.770,V,70.86,117.34,203.91,4,Pending_Approval,JPY,s,815.64,46.48,0.08605852
10:39:35.814,APPL,211.05,148.87,290.03,12,Dealer_Rejected,EUR,s,3480.36,62.18,0.1929881
10:40:50.710,GOOGL,136.95,183.16,210.12,10,Dealer_Timeout,EUR,s,2101.2,46.21,0.2164034
10:40:59.209,NFLX,176.78,162.41,160.65,7,Pending_Approval,EUR,s,1124.55,14.37,0.487126
10:41:21.548,NFLX,220.6,247.66,244.03,2,Cancelled,INR,b,488.06,27.06,0.07390983
10:41:29.905,NFLX,55.68,77.09,149.27,5,Dealer_Rejected,JPY,s,746.35,21.41,0.2335357
10:41:57.681,BABA,160.39,260.87,130.43,10,On_hold,INR,b,1304.3,100.48,0.09952229
10:42:26.974,V,25.07,278.82,172.99,14,Cancelled,JPY,s,2421.86,253.75,0.05517241
10:42:31.499,TSLA,36.57,112.65,164.41,11,Customer_Timeout,GBP,s,1808.51,76.08,0.1445846
10:42:37.475,TSLA,153.27,174.18,54.7,3,Dealer_Rejected,EUR,s,164.1,20.91,0.143472
10:42:57.394,BABA,196.66,214.05,183.64,13,Dealer_Timeout,INR,b,2387.32,17.39,0.7475561
10:43:03.675,BABA,148.81,273.96,30.53,14,Dealer_Timeout,JPY,s,427.42,125.15,0.1118658
10:43:36.824,BABA,291.93,183.32,286.56,3,Dealer_Rejected,USD,b,859.68,108.61,0.02762177
10:44:16.562,V,179.91,84.7,215.75,12,Expired,USD,s,2589,95.21,0.1260372
10:45:24.311,GOOGL,109.74,261.83,29.24,3,Customer_Rejected,JPY,s,87.72,152.09,0.01972516
10:45:31.374,MSFT,294.46,98.27,169.26,5,Pending_Approval,GBP,b,846.3,196.19,0.0254855
10:45:35.693,META,282.38,55.88,285.37,7,Partially_Done,GBP,b,1997.59,226.5,0.03090508
10:45:37.787,NFLX,68.52,297.37,247.93,8,Pending_Approval,USD,b,1983.44,228.85,0.0349574
10:45:49.712,GOOGL,110.38,191.62,208.2,4,Customer_Timeout,JPY,b,832.8,81.24,0.04923683
10:45:50.872,MSFT,117.15,256.08,126.33,5,Done,GBP,b,631.65,138.93,0.03598935
10:47:05.812,BABA,250.09,198.89,229.96,9,Cancelled,GBP,s,2069.64,51.2,0.1757813
10:47:13.377,MSFT,291.75,185.85,289.07,7,Done,GBP,s,2023.49,105.9,0.06610009
10:47:21.596,GOOGL,111.03,220.4,230.53,13,Customer_Timeout,EUR,s,2996.89,109.37,0.1188626
10:47:44.791,MSFT,263.55,130.34,168.4,9,Customer_Timeout,GBP,b,1515.6,133.21,0.0675625
10:47:48.378,META,131.78,247.81,71.44,1,In_Progress,INR,b,71.44,116.03,0.008618461
10:48:14.916,V,252.24,272.24,40.54,3,Cancelled,JPY,b,121.62,20,0.15
10:48:24.651,APPL,29.95,160.02,44.05,10,Pending_Approval,INR,s,440.5,130.07,0.07688168
10:48:38.118,V,54.42,179.45,21.36,15,Accepted,GBP,b,320.4,125.03,0.1199712
10:48:47.975,V,137.55,215.93,116.52,4,Partially_Done,JPY,s,466.08,78.38,0.05103343
